日期,標題,新聞稿網址,檔案網址,存放位置
2006-07-11,新聞發布第125號(95年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23641&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9507/report950711.xls,xls_risk/63b28bda250b9e66aad6bbcaff7862c4.xls
2006-04-03,"新聞發布第054號 (94年12月底本國銀行國家風險統計 )",http://www.cbc.gov.tw/ct.asp?xItem=23510&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9504/report950403.xls,xls_risk/13762c62b083c6abd8b73619cb4980c5.xls
2006-01-12,"新聞發布第010號 (94年9月底本國銀行國家風險統計)",http://www.cbc.gov.tw/ct.asp?xItem=21788&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9501/report950112.xls,xls_risk/40243efcf62b89163e6e8fed6ed855d7.xls
2005-10-03,新聞發布第157號(94年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=21298&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9410/report941003.xls,xls_risk/b327d4f1ea99199e858452863d99f18c.xls
2005-06-28,"新聞發布第102號 (94年3月底本國銀行國家風險統計)",http://www.cbc.gov.tw/ct.asp?xItem=21139&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9406/report940628.xls,xls_risk/8ee01d7d9c375e4d1392da8628a11dae.xls
2005-04-07,新聞發布第057號(93年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22022&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9404/report940407.xls,xls_risk/5516706a2481bccc2de67dee8610e901.xls
2004-10-08,新聞發布第173號(93年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22894&ctNode=302&mp=1,http://www.cbc.gov.tw/m9310/report931008.xls[無法下載],xls_risk/3c7297b4bba2387eb0e01dfd9770340a.xls
2004-07-02,新聞發布第111號(九十三年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22854&ctNode=302&mp=1,http://www.cbc.gov.tw/m9307/report930702.xls[無法下載],xls_risk/ef56c76d5b8a4c50611e1843438983b1.xls
2004-03-17,新聞發布第046號(九十二年十二月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22567&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9303/report930317.xls,xls_risk/a11959cb6df73262110d68c0c6b17b75.xls
2003-12-17,新聞發布第216號(九十二年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=21579&ctNode=302&mp=1,http://www.cbc.gov.tw/m9212/report921217.xls[無法下載],xls_risk/ce223e99fc3f8ba588283935325169da.xls
2003-09-18,新聞發布第156號(九十二年六月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20772&ctNode=302&mp=1,http://www.cbc.gov.tw/m9209/report920918.xls[無法下載],xls_risk/9f46673ee8cab5facd45bfde99b0bae8.xls
2003-07-02,新聞發布第112號(九十二年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20864&ctNode=302&mp=1,http://www.cbc.gov.tw/m9207/report920702.xls[無法下載],xls_risk/fed4b7ff7a1dde1b2073a6a213a4003a.xls
2003-03-27,新聞發布第053號(九十一年十二月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23143&ctNode=302&mp=1,http://www.cbc.gov.tw/m9203/report920327.xls[無法下載],xls_risk/33eb1712f10878de18585cdea6001e0f.xls
2002-12-20,新發布第219號(九十一年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23197&ctNode=302&mp=1,http://www.cbc.gov.tw/m9112/report9112201.xls[無法下載],xls_risk/8f20d610e7e41fed53c50c2a7fd658db.xls
2002-12-20,新發布第219號(九十一年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23197&ctNode=302&mp=1,http://www.cbc.gov.tw/m9112/report9112202.xls[無法下載],xls_risk/86257040ed324b6761472dd178f6cae0.xls
2002-09-16,新聞發布第161號(九十一年六月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20334&ctNode=302&mp=1,http://www.cbc.gov.tw/m9109/report0916.xls[無法下載],xls_risk/3ba6cbfe2ac2bc84a0fb5c59569de2fc.xls
2002-06-17,新聞發布第102號(九十一年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23110&ctNode=302&mp=1,http://www.cbc.gov.tw/m9106/910617chart.xls[無法下載],xls_risk/6e156010d14a2367cc4188ff562b335c.xls
2002-03-26,新聞發布第052號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23440&ctNode=302&mp=1,http://www.cbc.gov.tw/m9103/report0326.xls[無法下載],xls_risk/36f14b3b9a34d00c3acfb7b8e3ef89e8.xls
2001-12-04,新聞發布第238號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22475&ctNode=302&mp=1,http://www.cbc.gov.tw/m9012/report1204.xls[無法下載],xls_risk/33b4ebcf55a8799c70f5dd0ec0ea3cfb.xls
2001-09-27,新聞發布第190號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20918&ctNode=302&mp=1,http://www.cbc.gov.tw/m9009/report0927.xls[無法下載],xls_risk/38ccf6b0bc88fa6ccbce7d9d56be65fd.xls
2001-07-02,新聞發布第124號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20399&ctNode=302&mp=1,http://www.cbc.gov.tw/m9007/report0702.xls[無法下載],xls_risk/0d3b442c72fe3b4ccf28c7933a7d9adf.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
